Mon Nov  8 04:20:25 2010    checkfileseq_profile.txt

         6168 function calls (6128 primitive calls) in 0.012 CPU seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 argparse.py:1407(_check_conflict)
        1    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 argparse.py:2096(_get_nargs_pattern)
       31    0.000    0.000    0.000    0.000 {min}
        5    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
        8    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
       14    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:825(__init__)
       40    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 {_sre.compile}
        3    0.000    0.000    0.000    0.000 argparse.py:1398(_get_handler)
        1    0.000    0.000    0.000    0.000 argparse.py:966(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:945(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1130(__init__)
       10    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1210(set_defaults)
        1    0.000    0.000    0.000    0.000 argparse.py:985(__init__)
        3    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       23    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:2189(_get_value)
       12    0.000    0.000    0.000    0.000 {setattr}
        9    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 argparse.py:1343(_get_positional_kwargs)
        4    0.000    0.000    0.000    0.000 stat.py:55(S_ISLNK)
        4    0.000    0.000    0.000    0.000 {range}
        2    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
        1    0.000    0.000    0.000    0.000 posixpath.py:109(basename)
        4    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
        3    0.000    0.000    0.000    0.000 {getattr}
        4    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        2    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        4    0.000    0.000    0.000    0.000 sre_parse.py:128(__delitem__)
        1    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        7    0.000    0.000    0.000    0.000 {ord}
